"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"TI","E-300300052","Start Date is required if neither Transaction ID nor ARN are supplied as criteria","Please include a value for Start Date and resubmit."
"TI","E-300300053","The value for ARN must be 23 digits long.",
"TI","E-300300055","Transaction Inquiry failed due to a configuration error. Please contact <regional contact info>.","A TI request has been made that will require going to VTRS, but no RACF ID has been configured in VOL for the user."
"TI","E-300300057","You cannot perform a query for More Merchant Information on a BASE I Authorization transaction","Submit"
"TI","E-300300058","VROL only supports ""More Merchant Information"" for Merchants with country code = ""US"" or ""CA"".","Submit"
"Multiple","E-300300060","A Card/Account Number or Transaction ID is required.",
"Case Folder","E-300300061","Invalid  account owner state/province code","User tries to create a case with invalid Account owner state code"
"Case Folder","E-300300062","Invalid  cardholder state/province code","User tries to create a case with invalid cardholder state code"
"Case Folder","E-300300063","Invalid  merchant state/province code","User tries to create a case with invalid merchant state code"
"VCRFS","E-300400000  ","The id attribute of the Attachment is missing or empty.  ","User has submitted a RFC fulfillment without specifying an image in the SOAP message (id attribute of Attachment is empty).  Specify one or more images and resubmit.  "
"VCRFS","E-300400001  ","No image attachments found.  ","User has submitted a RFC fulfillment without supplying one or more images in the SOAP attachment.  The fulfillment must have at least one image attached.  Please attach an image and resubmit.  "
"Security ","E-300400002","Login failure.  Please contact <regional contact information>.","A login failure can occur for a number of reasons, including invalid password.  The initial response should be to verify the user credentials and resubmit the login request.  If that does not correct the problem, please contact ROL support for your region."
"VCRFS","E-300400002  ","Attachment ids must be unique. Non-unique attachment ids found are: $InvalidImageIds$.   ","The request contains multiple Attachments with duplicate id attributes.  Correct the Attachment id values and resubmit.  "
"VCRFS","E-300400003  ","Invalid ContentType found for the Attachments with ids: $InvalidImageIds$.  ","The ContentType element is invalid for the specified Attachment.  Correct and resubmit the request.  "
"VCRFS","E-300400004  ","An internal system error occurred. Please contact <regional contact information>. Error: More than one case found for VisaCaseNumber: $CaseNumber$ and RRID: $RRID$.”  ","ROL found more than one case containing the supplied VisaCaseNumber and RetrievalRequestID. This indicates an internal data integrity problem, or an application error.  Contact ROL support for your region. "
"VCRFS","E-300400005  ","No case found for VisaCaseNumber: $CaseNumber$ and RetrievalRequestID: $RRID$.  ","ROL found no case containing the supplied VisaCaseNumber and RetrievalRequestID.   Please correct the VisaCaseNumber and/or RetrievalRequestID and resubmit the request.  "
"Misc Fees","E-300400006","Invalid MiscFeeReasonCode for NetworkID and Jurisdiction","The value provided for XML element ""MiscFeeReasonCode"" is invalid for the supplied ""NetworkID"" value and case jurisdiction as determined by VROL.  Please correct and resubmit."
"VCRFS","E-300400007  ","Fulfillment not found for VisaCaseNumber $VisaCaseNumber$ and RFCID $RFCID$  ","ROL could not find a fulfillment for the supplied VisaCaseNumber and RFCID.  Please correct the request parameters and resubmit.  "
"VCRFS","E-300400008  ","Non-Fulfillment not found for VisaCaseNumber $VisaCaseNumber$ and RFCID $RFCID$  ","ROL could not find a non-fulfillment for the supplied VisaCaseNumber and RFCID.  Please correct the request parameters and resubmit.  "
"Misc Fees","E-300400009","MessageText for Base II cannot be more than 70 characters","Member submitted a Base II Miscellaneous Fee transaction with XML element ""MessageText"" value greater than 70 characters.  Please correct and resubmit."
"Misc Fees","E-300400010","MerchantCountryCode is required.","Member has not provided a field that is required to process a Misc Fee Transction. Please provide the XML element ""MerchantCountryCode“ and resubmit."
"Misc Fees","E-300400011","MessageText is required","Member has not provided a field that is required to process a Misc Fee Transction. Please provide the XML element ""MessageText“ and resubmit."
"Misc Fees","E-300400012","EventDate is required","Member has not provided a field that is required to process a Misc Fee Transction with this reason code. Please provide the XML element ""EventDate"" and resubmit."
